年月日等,件名,備考
（平成17年3月22日）（令和6年6月28日付改正分まで更新）,資産課税関係の申請、届出等の様式の制定について,"
一部改正通達
			（令和6年6月28日付通達まで掲載）		"
（平成16年6月4日）（平成17年1月7日付改正分まで更新）,平成16年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成17年1月7日付通達〔12月分〕まで掲載）		"
（平成16年6月10日）（平成17年1月12日付改正分まで更新）,平成16年分の類似業種比準価額計算上の業種目及び業種目別株価等について,"
一部改正通達
			（平成17年1月12日付通達〔12月分〕まで掲載）		"
（平成15年6月16日）（平成16年1月13日付改正分まで更新）,平成15年分の類似業種比準価額計算上の業種目及び業種目別株価等について,"
一部改正通達
			（平成16年1月13日付通達〔12月分〕まで掲載）		"
（平成14年6月27日）（平成15年1月24日付改正分まで更新）,平成14年分の類似業種比準価額計算上の業種目及び業種目別株価等について,"
一部改正通達
			（平成15年1月24日付通達〔12月分〕まで掲載）		"
（平成14年6月4日）（令和2年6月22日付改正分まで更新）,"
（平成24年3月31日以前に認定を受けた森林施業計画に係るもの）公益的機能別施業森林区域内の山林及び立木の評価について ","
一部改正通達
			（令和2年6月22日付通達まで掲載）		"
"
（平成24年4月1日以後に認定を受けた森林経営計画に係るもの）公益的機能別施業森林区域内の山林及び立木の評価について "
（平成13年6月26日）（平成14年1月16日付改正分まで更新）,平成13年分の類似業種比準価額計算上の業種目及び業種目別株価等について,"
一部改正通達
			（平成14年1月16日付通達〔12月分〕まで掲載）		"
（平成12年6月16日）（平成13年1月22日付改正分まで更新）,平成12年分の類似業種比準価額計算上の業種目及び業種目別株価等について,"一部改正通達
	（平成13年1月22日付通達〔12月分〕まで掲載）"
（平成10年8月25日）（平成11年7月26日付改正分まで更新）,一般定期借地権の目的となっている宅地の評価に関する取扱いについて,"
一部改正通達
			（平成11年7月26日付通達まで掲載）		"
（平成7年8月18日）,阪神・淡路大震災の発生日以後に相続等により取得した財産の評価について , 
（平成7年8月18日）,"
阪神・淡路大震災の被災者等に係る国税関係法律の臨時特例に関する法律に規定する特定株式等の評価について ", 
（平成6年12月19日）,特定市民農園の用地として貸し付けられている土地の評価について, 
（平成4年12月1日）,"
三大都市圏の特定市の市街化区域内農地のうち平成4年中に都市計画法上の生産緑地地区の指定等を受けた農地等の評価について  ", 
（平成4年8月27日）,財産評価基本通達15（（奥行価格補正））の定めによる奥行価格補正率等の適用について, 
（平成4年4月22日）,都市公園の用地として貸し付けられている土地の評価について, 
（平成2年12月27日）（令和5年9月28日付改正分まで更新）,相続税及び贈与税における取引相場のない株式等の評価明細書の様式及び記載方法等について,"
一部改正通達
			（令和5年9月28日付通達まで掲載）"
（平成元年3月29日）（平成3年12月18日付改正分まで更新）,"
負担付贈与又は対価を伴う取引により取得した土地等及び家屋等に係る評価並びに相続税法第7条及び第9条の規定の適用について ", 
（昭和56年6月9日）,"
農用地利用増進法等の規定により設定された賃貸借により貸付けられた農用地等の評価について ", 
（昭和43年10月28日）,相当の地代を収受している貸宅地の評価について, 
